time_board,marker
1730244252.68195,5.0
1730244252.6870496,5.0
1730244252.690935,5.0
1730244252.6940248,5.0
1730244252.6979637,5.0
1730244252.7020202,5.0
1730244252.7060826,5.0
1730244252.7099495,5.0
1730244252.7150152,5.0
1730244252.7190137,5.0
1730244252.7220137,5.0
1730244252.725978,5.0
1730244252.7302325,5.0
1730244252.7341273,5.0
1730244252.7381136,5.0
1730244252.7432027,5.0
1730244252.7461636,5.0
1730244252.7500556,5.0
1730244252.7541697,5.0
1730244252.7581353,5.0
1730244252.7622228,5.0
1730244252.7660708,5.0
1730244252.7712207,5.0
1730244252.7740717,5.0
1730244252.7772524,5.0
1730244252.782066,5.0
1730244252.7862594,5.0
1730244252.7901752,5.0
1730244252.7943096,5.0
1730244252.7991822,5.0
1730244252.8022928,5.0
1730244252.805313,5.0
1730244252.8103356,5.0
1730244252.8142457,5.0
1730244252.818254,5.0
1730244252.822409,5.0
1730244252.8263564,5.0
1730244252.830402,5.0
1730244252.8333013,5.0
1730244252.8383317,5.0
1730244252.8423262,5.0
1730244252.8462615,5.0
1730244252.8502662,5.0
1730244252.854431,5.0
1730244252.8583367,5.0
1730244252.8614717,5.0
1730244252.865272,5.0
1730244252.8714838,5.0
1730244252.8743403,5.0
1730244252.8784344,5.0
1730244252.8814845,5.0
1730244252.885434,5.0
1730244252.889442,5.0
1730244252.8933413,5.0
1730244252.8983798,5.0
1730244252.9024732,5.0
1730244252.9063697,5.0
1730244252.909377,5.0
1730244252.9134305,5.0
1730244252.9174912,5.0
1730244252.9214928,5.0
1730244252.9265077,5.0
1730244252.9305143,5.0
1730244252.934408,5.0
1730244252.9374492,5.0
1730244252.9413722,5.0
1730244252.945488,5.0
1730244252.9495783,5.0
1730244252.954528,5.0
1730244252.9584625,5.0
1730244252.9624596,5.0
1730244252.9654744,5.0
1730244252.9695425,5.0
1730244252.9734411,5.0
1730244252.9774387,5.0
1730244252.9815583,5.0
1730244252.9865384,5.0
1730244252.989493,5.0
1730244252.9935503,5.0
1730244252.997528,5.0
1730244253.001538,5.0
1730244253.0056288,5.0
1730244253.0096822,5.0
1730244253.0146806,5.0
1730244253.0176775,5.0
1730244253.021552,5.0
1730244253.0256748,5.0
1730244253.029619,5.0
1730244253.0336013,5.0
1730244253.0375965,5.0
1730244253.042562,5.0
1730244253.0456393,5.0
1730244253.0485413,5.0
1730244253.0536883,5.0
1730244253.057576,5.0
1730244253.0618088,5.0
1730244253.065564,5.0
1730244253.070829,5.0
1730244253.0735753,5.0
1730244253.0777192,5.0
1730244253.0817173,5.0
1730244253.0858078,5.0
1730244253.0897963,5.0
1730244253.0938427,5.0
1730244253.0978625,5.0
1730244253.1008315,5.0
1730244253.104876,5.0
1730244253.1098137,5.0
1730244253.113683,5.0
1730244253.117798,5.0
1730244253.121797,5.0
1730244253.125872,5.0
1730244253.1288235,5.0
1730244253.1327407,5.0
1730244253.1377428,5.0
1730244253.1418493,5.0
1730244253.1458263,5.0
1730244253.149825,5.0
1730244253.1529162,5.0
1730244253.15677,5.0
1730244253.1608932,5.0
1730244253.1648884,5.0
1730244253.1699655,5.0
1730244253.1738443,5.0
1730244253.1780615,5.0
1730244253.1817613,5.0
1730244253.186067,5.0
1730244253.188989,5.0
1730244253.194002,5.0
1730244253.1979434,5.0
1730244253.2019162,5.0
1730244253.206024,5.0
1730244253.2091715,5.0
1730244253.2130651,5.0
1730244253.2169735,5.0
1730244253.2212007,5.0
1730244253.226143,5.0
1730244253.2301302,5.0
1730244253.2329931,5.0
1730244253.2371347,5.0
1730244253.240873,5.0
1730244253.2450893,5.0
1730244253.248943,5.0
1730244253.254052,5.0
1730244253.257918,5.0
1730244253.2611215,5.0
1730244253.2652187,5.0
1730244253.2690089,5.0
1730244253.2731323,5.0
1730244253.2790751,5.0
1730244253.2819772,5.0
