Fp1,C3,time_board
-3951.1178673646295,17643.84122417465,1730412142.9205728
-3939.87493990361,17651.150244611534,1730412142.9245312
-3954.291815077283,17664.628346518082,1730412142.9275584
-3970.943864696487,17662.415523817006,1730412142.9316216
-3951.4978470203696,17654.72652372438,1730412142.9355764
-3949.1732655970177,17651.932555667467,1730412142.9406147
-3962.718422736934,17669.478675064885,1730412142.9446092
-3960.550303524769,17670.372744843095,1730412142.9487123
-3947.273367318317,17647.39515154304,1730412142.952882
-3945.507579506348,17645.49525326434,1730412142.9567003
-3955.521161022325,17665.321250596196,1730412142.959689
-3962.360794825649,17669.322212853698,1730412142.96367
-3955.9234924225207,17654.05597139072,1730412142.9677482
-3952.369565054127,17647.462206776407,1730412142.9727464
-3955.16353311104,17660.649736005038,1730412142.9768903
-3965.780611727311,17662.54963428374,1730412142.9808252
-3960.751469224867,17647.797482943235,1730412142.98378
-3946.6251667291126,17646.031695131267,1730412142.9878604
-3952.906006921054,17654.771227213292,1730412142.9917552
-3962.539608781292,17660.2697563493,1730412142.995858
-3958.181018612506,17655.39707605804,1730412143.000802
-3947.005146384853,17648.602145743625,1730412143.0047495
-3953.0624691322414,17655.128855124578,1730412143.0077617
-3960.326786080216,17667.154093641533,1730412143.0117717
-3959.2539023463614,17661.141474383054,1730412143.0158496
-3948.480361518903,17644.310610808207,1730412143.019936
-3946.714573706934,17650.54674751124,1730412143.0237937
-3946.848684173666,17664.807160473723,1730412143.0289617
-3956.124658122618,17658.325154581686,1730412143.0329444
-3962.874884948121,17644.15414859702,1730412143.0358913
-3962.3384430811934,17646.232860831366,1730412143.0398424
-3962.427850059015,17660.001535415835,1730412143.043847
-3960.326786080216,17658.660430748514,1730412143.0478363
-3964.014823915342,17649.473863777384,1730412143.0519705
-3955.3646988111377,17653.363067312606,1730412143.0559056
-3959.857399446655,17659.710962737914,1730412143.060902
-3961.042041902786,17662.773151728292,1730412143.0639431
-3954.1800563550064,17652.379590556575,1730412143.067999
-3952.324861565216,17641.807215429213,1730412143.0719
-3965.020652415831,17650.59145100015,1730412143.0758204
-3968.26165536185,17663.041372661755,1730412143.0798943
-3957.488114534392,17653.45247429043,1730412143.0848346
-3948.167437096529,17648.53509051026,1730412143.0889173
-3948.21214058544,17660.20270111593,1730412143.0919216
-3950.648480731068,17665.097733151644,1730412143.0960052
-3946.111076606641,17657.9675266704,1730412143.0999825
-3950.134390608596,17650.569099255696,1730412143.1039064
-3952.369565054127,17654.05597139072,1730412143.1079323
-3953.733021465901,17664.58364302917,1730412143.112014
-3955.4764575334143,17662.214358116908,1730412143.1170185
-3960.863227947144,17652.178424856476,1730412143.120123
-3954.895312177576,17650.97143065589,1730412143.124024
