time_board,marker
1730987736.186045,3.0
1730987736.1910627,3.0
1730987736.1950724,3.0
1730987736.1990657,3.0
1730987736.2030609,3.0
1730987736.207082,3.0
1730987736.2110631,3.0
1730987736.2140903,3.0
1730987736.2191224,3.0
1730987736.2232485,3.0
1730987736.2271514,3.0
1730987736.2312818,3.0
1730987736.236172,3.0
1730987736.2392468,3.0
1730987736.2421875,3.0
1730987736.2471788,3.0
1730987736.2511945,3.0
1730987736.2553449,3.0
1730987736.259245,3.0
1730987736.2623737,3.0
1730987736.266334,3.0
1730987736.270228,3.0
1730987736.274316,3.0
1730987736.2794728,3.0
1730987736.2834811,3.0
1730987736.2875144,3.0
1730987736.290495,3.0
1730987736.294388,3.0
1730987736.2984896,3.0
1730987736.3034663,3.0
1730987736.3075013,3.0
1730987736.311519,3.0
1730987736.3155067,3.0
1730987736.3184898,3.0
1730987736.322543,3.0
1730987736.3264728,3.0
1730987736.3305771,3.0
1730987736.3355443,3.0
1730987736.3395913,3.0
1730987736.3434749,3.0
1730987736.3463044,3.0
1730987736.3503275,3.0
1730987736.3543153,3.0
1730987736.3582811,3.0
1730987736.3623188,3.0
1730987736.367365,3.0
1730987736.371338,3.0
1730987736.3743768,3.0
1730987736.378375,3.0
1730987736.382376,3.0
1730987736.3865,3.0
1730987736.3904068,3.0
1730987736.395422,3.0
1730987736.398429,3.0
1730987736.4024265,3.0
1730987736.4064243,3.0
1730987736.4104435,3.0
1730987736.4144535,3.0
1730987736.418464,3.0
1730987736.423482,3.0
1730987736.426453,3.0
1730987736.4305005,3.0
1730987736.434445,3.0
1730987736.43847,3.0
1730987736.4424713,3.0
1730987736.4464753,3.0
1730987736.4514625,3.0
1730987736.4545476,3.0
1730987736.458675,3.0
1730987736.4627268,3.0
1730987736.4666858,3.0
1730987736.470744,3.0
1730987736.4746711,3.0
1730987736.479648,3.0
1730987736.482646,3.0
1730987736.4856558,3.0
1730987736.4906375,3.0
1730987736.4946404,3.0
1730987736.4985695,3.0
1730987736.502708,3.0
1730987736.5077052,3.0
1730987736.5109212,3.0
1730987736.5135932,3.0
1730987736.5185905,3.0
1730987736.5225832,3.0
1730987736.5266917,3.0
1730987736.530706,3.0
1730987736.533661,3.0
1730987736.537738,3.0
1730987736.5417745,3.0
1730987736.5467403,3.0
1730987736.550688,3.0
1730987736.5547671,3.0
1730987736.558704,3.0
1730987736.5628216,3.0
1730987736.5657928,3.0
1730987736.5698128,3.0
1730987736.574813,3.0
1730987736.5786672,3.0
1730987736.582688,3.0
1730987736.58682,3.0
1730987736.5897996,3.0
1730987736.5936835,3.0
1730987736.5977273,3.0
1730987736.601807,3.0
1730987736.6068094,3.0
1730987736.610763,3.0
1730987736.6148968,3.0
1730987736.6177945,3.0
1730987736.6218493,3.0
1730987736.625892,3.0
1730987736.62977,3.0
1730987736.6348283,3.0
1730987736.6388016,3.0
1730987736.6429288,3.0
1730987736.6459432,3.0
1730987736.6499257,3.0
1730987736.6539254,3.0
1730987736.6582308,3.0
1730987736.662944,3.0
1730987736.6668704,3.0
1730987736.669957,3.0
1730987736.6739323,3.0
1730987736.6779644,3.0
1730987736.681954,3.0
1730987736.6859677,3.0
1730987736.6909022,3.0
1730987736.6948895,3.0
1730987736.6979008,3.0
1730987736.702126,3.0
1730987736.706036,3.0
1730987736.7099924,3.0
1730987736.7149885,3.0
1730987736.718159,3.0
1730987736.721922,3.0
1730987736.7259583,3.0
1730987736.7300324,3.0
1730987736.7351708,3.0
1730987736.7380865,3.0
1730987736.741114,3.0
1730987736.7461643,3.0
1730987736.7502525,3.0
1730987736.7540526,3.0
1730987736.758135,3.0
1730987736.763101,3.0
1730987736.7661543,3.0
1730987736.7691453,3.0
1730987736.774041,3.0
1730987736.7781184,3.0
1730987736.7821312,3.0
1730987736.7861197,3.0
1730987736.790995,3.0
1730987736.7942576,3.0
1730987736.7972784,3.0
1730987736.80207,3.0
1730987736.806069,3.0
1730987736.810168,3.0
1730987736.8142123,3.0
1730987736.8192053,3.0
1730987736.8222444,3.0
1730987736.8252015,3.0
1730987736.8302455,3.0
1730987736.8341253,3.0
1730987736.838132,3.0
1730987736.8421752,3.0
1730987736.84615,3.0
1730987736.8501756,3.0
1730987736.8531592,3.0
1730987736.8582194,3.0
1730987736.8622286,3.0
1730987736.8662157,3.0
1730987736.8702185,3.0
1730987736.8732224,3.0
1730987736.877402,3.0
1730987736.8813384,3.0
1730987736.8853333,3.0
1730987736.890319,3.0
1730987736.8942308,3.0
1730987736.8982267,3.0
1730987736.9012513,3.0
1730987736.9052515,3.0
1730987736.909223,3.0
1730987736.9132507,3.0
1730987736.9182763,3.0
1730987736.9223287,3.0
1730987736.9263537,3.0
1730987736.929285,3.0
1730987736.9332905,3.0
1730987736.9372876,3.0
1730987736.9414806,3.0
1730987736.9464085,3.0
1730987736.9503632,3.0
1730987736.954336,3.0
1730987736.957383,3.0
1730987736.961372,3.0
1730987736.9653823,3.0
1730987736.9693575,3.0
1730987736.9733596,3.0
1730987736.9784613,3.0
1730987736.9814389,3.0
1730987736.9854507,3.0
1730987736.9894693,3.0
1730987736.9936256,3.0
1730987736.9976308,3.0
1730987737.0015893,3.0
1730987737.0066233,3.0
1730987737.0095131,3.0
1730987737.0136747,3.0
1730987737.0174537,3.0
1730987737.0215197,3.0
1730987737.0254977,3.0
1730987737.0294292,3.0
1730987737.0346923,3.0
1730987737.037702,3.0
1730987737.0417864,3.0
1730987737.0457044,3.0
1730987737.0495234,3.0
1730987737.0537677,3.0
1730987737.0576184,3.0
1730987737.0625205,3.0
1730987737.0656168,3.0
1730987737.0696323,3.0
1730987737.073645,3.0
1730987737.0776503,3.0
1730987737.0816605,3.0
1730987737.0855458,3.0
1730987737.0896325,3.0
1730987737.093785,3.0
1730987737.0966637,3.0
1730987737.101698,3.0
1730987737.1056907,3.0
1730987737.109682,3.0
1730987737.113712,3.0
1730987737.1167512,3.0
1730987737.1206346,3.0
1730987737.1246374,3.0
1730987737.1297054,3.0
1730987737.1336668,3.0
1730987737.13775,3.0
1730987737.1417923,3.0
1730987737.1447744,3.0
1730987737.148769,3.0
1730987737.1526935,3.0
1730987737.1566887,3.0
1730987737.1617036,3.0
1730987737.1657095,3.0
1730987737.1697445,3.0
1730987737.1726613,3.0
1730987737.176696,3.0
1730987737.1806867,3.0
1730987737.1847646,3.0
1730987737.1898117,3.0
1730987737.1937375,3.0
1730987737.197742,3.0
1730987737.2007525,3.0
1730987737.2049532,3.0
1730987737.2088506,3.0
1730987737.2127912,3.0
1730987737.2178693,3.0
1730987737.2219908,3.0
1730987737.2258475,3.0
1730987737.2288249,3.0
1730987737.232992,3.0
1730987737.236843,3.0
1730987737.2409272,3.0
1730987737.245885,3.0
1730987737.249922,3.0
1730987737.2528565,3.0
1730987737.2568069,3.0
1730987737.2608545,3.0
1730987737.264836,3.0
1730987737.2688577,3.0
1730987737.273884,3.0
1730987737.2778833,3.0
1730987737.280846,3.0
1730987737.2848969,3.0
1730987737.2888916,3.0
1730987737.2928843,3.0
1730987737.2969832,3.0
1730987737.3009536,3.0
1730987737.3061538,3.0
1730987737.3090312,3.0
1730987737.3131132,3.0
1730987737.316975,3.0
1730987737.3210847,3.0
1730987737.3251553,3.0
1730987737.329183,3.0
1730987737.3340604,3.0
1730987737.3371923,3.0
1730987737.3411405,3.0
1730987737.3452418,3.0
1730987737.3492577,3.0
