Fp1,C3,time_board
-1047.5145038979656,-1078.985760091038,1730245123.5782857
-1023.0840472083148,-1005.2697068774352,1730245123.58145
-1036.20452120358,-1004.9344307106056,1730245123.5852876
-1078.2481525240128,-1067.8769430967502,1730245123.5894835
-1065.150030273203,-1077.68935891263,1730245123.592427
-1030.01308798946,-1009.337724368301,1730245123.5964773
-1037.9926607600046,-995.144366639181,1730245123.6004727
-1089.9381148741384,-1065.887637840228,1730245123.6054542
-1077.0635100678817,-1094.5425742319314,1730245123.608467
-1034.0364019914152,-1034.9304717696275,1730245123.6122675
-1038.4843991380214,-993.1327096382034,1730245123.6164055
-1069.173344275158,-1051.5154661554654,1730245123.6203792
-1058.466858681066,-1102.8797749137611,1730245123.6244736
-1015.1491779266807,-1044.5193701409544,1730245123.6305785
-1045.4134399191666,-987.9918084134828,1730245123.6334765
-1056.0528702798929,-1034.6846025806192,1730245123.6364536
-1075.9012193562055,-1064.4347744506329,1730245123.6414983
-1056.723422613552,-1028.0014309884823,1730245123.6444893
-1039.1325997272254,-981.6886164770862,1730245123.6483831
-1060.4114604486776,-1009.9412214685944,1730245123.654534
-1076.5494199454097,-1070.9391320871273,1730245123.657509
-1044.8769980522393,-1045.9051782971833,1730245123.6605492
-1024.112227453259,-983.1638316111364,1730245123.6643455
-1056.7681261024627,-993.0880061492928,1730245123.6684897
-1077.756414145996,-1050.241416721513,1730245123.6725245
-1059.5844459038312,-1044.8099428188734,1730245123.6763916
-1039.087896238315,-992.372750326723,1730245123.6805568
-1056.5222569134542,-978.7828896978964,1730245123.6844246
-1083.657274682197,-1039.2220067050466,1730245123.6885636
-1065.9099895846832,-1053.750640600996,1730245123.6915815
-1031.1530269566808,-989.9587619255498,1730245123.6966093
-1037.6126811042643,-970.1104128492372,1730245123.701468
-1094.3861120207443,-1029.4766461225329,1730245123.704584
-1107.0371993824483,-1062.1325447717363,1730245123.7086043
-1059.9644255595715,-1005.0908929217928,1730245123.7126284
-1047.8497800647951,-965.9306366360948,1730245123.7166524
-1075.4094809781886,-1016.7361517830076,1730245123.721616
-1055.270559223957,-1061.529047671443,1730245123.7255003
-1017.1384831832032,-1021.787646029907,1730245123.7286336
-1034.5728438583426,-972.3455872947678,1730245123.7326367
-1070.693262898119,-1007.3931226006894,1730245123.737573
-1111.753417462518,-1056.6787191246417,1730245123.7424717
-1061.730213371541,-1019.2171954175468,1730245123.7457411
-1040.853684050284,-968.5681424818208,1730245123.748809
-1067.4522599520994,-1002.6322010317087,1730245123.75274
-1075.364777489278,-1058.7127278700743,1730245123.7567315
-1065.0382715509263,-1042.239492206513,1730245123.7606263
-1049.1014777542923,-985.8013374568628,1730245123.7647314
-1060.9926058045155,-1002.274573120424,1730245123.7675989
-1083.7019781711076,-1068.7039576415966,1730245123.7717607
-1069.1286407862474,-1062.8030971053954,1730245123.7756104
-1024.983945487016,-1004.1074161657592,1730245123.7797575
-1061.6408063937197,-996.9325061956056,1730245123.7845633
-1100.465786512588,-1064.0324430504377,1730245123.7886343
-1072.302588498901,-1075.87886761175,1730245123.7926736
-1042.3065474398788,-1014.9256604821278,1730245123.795776
-1045.9722335305494,-995.4572910615552,1730245123.7997851
-1069.4415652086218,-1060.8584953377838,1730245123.8038604
-1066.1558587736915,-1083.9925508490269,1730245123.8078272
-1039.5125793829657,-1030.0577914783707,1730245123.8127277
-1035.0645822363597,-995.144366639181,1730245123.81685
-1053.4824196675324,-1040.786628816918,1730245123.8207953
-1042.2841956954237,-1080.3268647583564,1730245123.823816
-1027.4202856326444,-1037.0538874928818,1730245123.8277965
-1044.9217015411498,-993.4456340605776,1730245123.831718
-1059.0033005479934,-1026.8391402768063,1730245123.8358104
-1081.4221002366662,-1079.2539810245016,1730245123.8398347
-1055.6505388796973,-1056.2763877244458,1730245123.8448462
-1041.5465881283983,-993.0656544048376,1730245123.8488643
-1060.076184281848,-1003.3251051098234,1730245123.851882
-1081.5562107033982,-1075.0965565558145,1730245123.8558488
-1061.7078616270855,-1063.9206843281609,1730245123.8597493
-1024.2016344310805,-993.2221166160248,1730245123.8640113
-1044.0946869963036,-999.726474252519,1730245123.8677828
-1065.7311756290408,-1052.0742597668482,1730245123.8732295
-1055.9411115576163,-1057.9751203030492,1730245123.8757994
-1029.655460078175,-1004.1744713991252,1730245123.8799872
-1035.1986927030914,-989.3329130808012,1730245123.8838947
-1064.9712163175602,-1051.4037074331889,1730245123.8879197
-1046.3745649307448,-1067.1840390186358,1730245123.8918917
-1000.5087853084548,-1011.0141052024492,1730245123.8959785
-1040.5854631168204,-981.755671710452,1730245123.9008443
-1042.8653410512616,-1036.696259581597,1730245123.9040248
-1055.3599662017782,-1074.7165769000742,1730245123.9080403
-1058.6009691477975,-1028.9402042556053,1730245123.9119976
-1033.1199804687478,-984.14730836717,1730245123.9160411
-1058.7350796145297,-1022.5029018524768,1730245123.9200163
-1063.1830767611357,-1069.888600097728,1730245123.9239364
