time_board,marker
1730244874.8036497,1.0
1730244874.8074963,1.0
1730244874.8115697,1.0
1730244874.816353,1.0
1730244874.8205447,1.0
1730244874.8244896,1.0
1730244874.827476,1.0
1730244874.8315537,1.0
1730244874.8354113,1.0
1730244874.8395104,1.0
1730244874.8444488,1.0
1730244874.8486571,1.0
1730244874.8516233,1.0
1730244874.855638,1.0
1730244874.8595817,1.0
1730244874.8657,1.0
1730244874.8685527,1.0
1730244874.871676,1.0
1730244874.8767116,1.0
1730244874.8796203,1.0
1730244874.8835163,1.0
1730244874.887742,1.0
1730244874.8915265,1.0
1730244874.8976004,1.0
1730244874.901612,1.0
1730244874.905575,1.0
1730244874.9085572,1.0
1730244874.912639,1.0
1730244874.9155211,1.0
1730244874.9197288,1.0
1730244874.923666,1.0
1730244874.9276707,1.0
1730244874.932551,1.0
1730244874.93576,1.0
1730244874.939744,1.0
1730244874.9446828,1.0
1730244874.9488096,1.0
1730244874.9527624,1.0
1730244874.955788,1.0
1730244874.9598017,1.0
1730244874.962806,1.0
1730244874.9666655,1.0
1730244874.9718611,1.0
1730244874.975862,1.0
1730244874.979818,1.0
1730244874.9837592,1.0
1730244874.9878075,1.0
1730244874.990687,1.0
1730244874.9948068,1.0
1730244874.9997275,1.0
1730244875.00372,1.0
1730244875.0077205,1.0
1730244875.0119126,1.0
1730244875.0157044,1.0
1730244875.0188196,1.0
1730244875.0228455,1.0
1730244875.0278556,1.0
1730244875.0318122,1.0
1730244875.0358706,1.0
1730244875.0399115,1.0
1730244875.042992,1.0
1730244875.0469863,1.0
1730244875.0540257,1.0
1730244875.056975,1.0
1730244875.0610168,1.0
1730244875.0650065,1.0
1730244875.0690117,1.0
1730244875.0719988,1.0
1730244875.074804,1.0
1730244875.0789804,1.0
1730244875.08285,1.0
1730244875.08799,1.0
1730244875.09191,1.0
1730244875.096059,1.0
1730244875.0989783,1.0
1730244875.103217,1.0
1730244875.1069689,1.0
1730244875.1110325,1.0
1730244875.1159616,1.0
1730244875.1200864,1.0
1730244875.123005,1.0
1730244875.1270714,1.0
1730244875.1310687,1.0
1730244875.135125,1.0
1730244875.1390464,1.0
1730244875.1441212,1.0
1730244875.148134,1.0
1730244875.1511831,1.0
1730244875.155154,1.0
1730244875.1590905,1.0
1730244875.1630952,1.0
1730244875.1670144,1.0
1730244875.1711893,1.0
1730244875.1762166,1.0
1730244875.179207,1.0
1730244875.182979,1.0
1730244875.1870787,1.0
1730244875.1910453,1.0
1730244875.1952276,1.0
1730244875.2012353,1.0
1730244875.2042296,1.0
1730244875.2080436,1.0
1730244875.2122312,1.0
1730244875.2160926,1.0
1730244875.2203128,1.0
1730244875.2240665,1.0
1730244875.230254,1.0
1730244875.2333696,1.0
1730244875.2371025,1.0
1730244875.2411442,1.0
1730244875.2443292,1.0
1730244875.2473152,1.0
1730244875.2512553,1.0
1730244875.2552028,1.0
1730244875.259237,1.0
1730244875.2622716,1.0
1730244875.26717,1.0
1730244875.2722394,1.0
1730244875.2752233,1.0
1730244875.2793334,1.0
1730244875.2822192,1.0
1730244875.2863717,1.0
1730244875.2904685,1.0
1730244875.2954073,1.0
1730244875.2992651,1.0
1730244875.3033805,1.0
1730244875.3072224,1.0
1730244875.3104472,1.0
1730244875.3144736,1.0
1730244875.3184512,1.0
1730244875.3224442,1.0
1730244875.3274608,1.0
1730244875.331308,1.0
1730244875.3353877,1.0
1730244875.3383486,1.0
1730244875.3423405,1.0
1730244875.346318,1.0
1730244875.35246,1.0
1730244875.3554645,1.0
1730244875.3594198,1.0
1730244875.3635993,1.0
1730244875.3694465,1.0
1730244875.3724651,1.0
1730244875.3753877,1.0
1730244875.3785424,1.0
1730244875.3845854,1.0
1730244875.3875422,1.0
1730244875.3913872,1.0
1730244875.394585,1.0
1730244875.398536,1.0
1730244875.4024858,1.0
1730244875.4064677,1.0
1730244875.4103696,1.0
1730244875.415387,1.0
1730244875.4195871,1.0
1730244875.4225988,1.0
1730244875.4265993,1.0
1730244875.4316833,1.0
