time_board,marker
1730329071.9855404,4.0
1730329071.9887705,4.0
1730329071.9938767,4.0
1730329071.9976668,4.0
1730329072.0018213,4.0
1730329072.005684,4.0
1730329072.0097473,4.0
1730329072.0136232,4.0
1730329072.0166247,4.0
1730329072.020671,4.0
1730329072.0257795,4.0
1730329072.029668,4.0
1730329072.03381,4.0
1730329072.03782,4.0
1730329072.0417526,4.0
1730329072.044717,4.0
1730329072.0487866,4.0
1730329072.053774,4.0
1730329072.0578249,4.0
1730329072.0616531,4.0
1730329072.0658622,4.0
1730329072.0688305,4.0
1730329072.072908,4.0
1730329072.0768952,4.0
1730329072.0809474,4.0
1730329072.0857008,4.0
1730329072.089922,4.0
1730329072.0929203,4.0
1730329072.0969524,4.0
1730329072.1008024,4.0
1730329072.1048827,4.0
1730329072.1087503,4.0
1730329072.1137416,4.0
1730329072.117762,4.0
1730329072.1208348,4.0
1730329072.1247787,4.0
1730329072.128772,4.0
1730329072.1330032,4.0
1730329072.1368785,4.0
1730329072.1418705,4.0
1730329072.1460173,4.0
1730329072.14901,4.0
1730329072.152837,4.0
1730329072.1569502,4.0
1730329072.160822,4.0
1730329072.1649156,4.0
1730329072.1698856,4.0
1730329072.1740625,4.0
1730329072.1770728,4.0
1730329072.181043,4.0
1730329072.1850257,4.0
1730329072.1890547,4.0
1730329072.1930847,4.0
1730329072.1980867,4.0
1730329072.2021024,4.0
1730329072.2051632,4.0
1730329072.2090852,4.0
1730329072.213159,4.0
1730329072.217193,4.0
1730329072.221154,4.0
1730329072.2251563,4.0
1730329072.2289896,4.0
1730329072.232208,4.0
1730329072.237023,4.0
1730329072.2412,4.0
1730329072.2449572,4.0
1730329072.2490814,4.0
1730329072.2530668,4.0
1730329072.257027,4.0
1730329072.2601,4.0
1730329072.265114,4.0
1730329072.2689872,4.0
1730329072.273242,4.0
1730329072.2772732,4.0
1730329072.281284,4.0
1730329072.2850256,4.0
1730329072.288282,4.0
1730329072.29231,4.0
1730329072.2973,4.0
1730329072.30117,4.0
1730329072.305308,4.0
1730329072.309405,4.0
1730329072.3131435,4.0
1730329072.3163402,4.0
1730329072.3212996,4.0
1730329072.3253703,4.0
1730329072.3293648,4.0
1730329072.3333712,4.0
1730329072.3361382,4.0
1730329072.3403935,4.0
1730329072.3441708,4.0
1730329072.3483129,4.0
1730329072.3531609,4.0
1730329072.3573897,4.0
1730329072.361231,4.0
1730329072.364394,4.0
1730329072.3684015,4.0
1730329072.3723648,4.0
1730329072.3763037,4.0
1730329072.3812995,4.0
1730329072.3853092,4.0
1730329072.390444,4.0
1730329072.3943136,4.0
1730329072.3973427,4.0
1730329072.4014096,4.0
1730329072.4044263,4.0
1730329072.408316,4.0
1730329072.4134464,4.0
1730329072.4174612,4.0
1730329072.4203053,4.0
1730329072.4246888,4.0
1730329072.428498,4.0
1730329072.4325368,4.0
1730329072.436417,4.0
1730329072.441692,4.0
1730329072.4453304,4.0
1730329072.4484491,4.0
1730329072.4523456,4.0
1730329072.4563837,4.0
1730329072.460482,4.0
1730329072.4646175,4.0
1730329072.4693575,4.0
1730329072.4726353,4.0
1730329072.4763792,4.0
1730329072.4803813,4.0
1730329072.484422,4.0
1730329072.488417,4.0
1730329072.4926388,4.0
1730329072.4974687,4.0
1730329072.500564,4.0
1730329072.504449,4.0
1730329072.5086784,4.0
1730329072.5125048,4.0
1730329072.5164137,4.0
1730329072.5205,4.0
1730329072.5257027,4.0
1730329072.5285137,4.0
1730329072.5326705,4.0
1730329072.536559,4.0
1730329072.540681,4.0
1730329072.544558,4.0
1730329072.5487394,4.0
1730329072.552654,4.0
1730329072.556697,4.0
1730329072.5596488,4.0
1730329072.5647895,4.0
1730329072.5688248,4.0
1730329072.5727403,4.0
1730329072.5765731,4.0
1730329072.581607,4.0
1730329072.5847232,4.0
1730329072.5876696,4.0
1730329072.5929065,4.0
1730329072.5968108,4.0
1730329072.6008463,4.0
1730329072.604806,4.0
1730329072.6077864,4.0
1730329072.6116605,4.0
1730329072.6158547,4.0
1730329072.6208324,4.0
1730329072.6249015,4.0
1730329072.6288168,4.0
1730329072.6329372,4.0
1730329072.6356947,4.0
1730329072.6399484,4.0
