Fp1,C3,time_board
-21016.764165969395,2476.2156577367377,1730329071.9855404
-20982.610700441684,2533.2796613311366,1730329071.9887705
-20949.194842481,2543.0473736581057,1730329071.9938767
-20980.889616118624,2474.874553069419,1730329071.9976668
-21026.800099229826,2441.3469363864588,1730329072.0018213
-21011.802078700315,2503.842413883497,1730329072.005684
-20961.28713623132,2540.812199212576,1730329072.0097473
-20966.517444433863,2490.520774188134,1730329072.0136232
-21013.63492174565,2451.8969597693635,1730329072.0166247
-21004.761279196893,2497.203945780271,1730329072.020671
-20959.47664493044,2545.751934737198,1730329072.0257795
-20962.181206009533,2510.97262036474,1730329072.029668
-21010.2598083329,2461.0835267404946,1730329072.03381
-21021.949770683023,2486.273942741626,1730329072.03782
-20974.564072437774,2544.4778853032453,1730329072.0417526
-20952.05586577128,2536.02892589914,1730329072.044717
-21003.39782278512,2470.046576267073,1730329072.0487866
-21016.54064852484,2483.30116072907,1730329072.053774
-20958.269650729853,2544.45553355879,1730329072.0578249
-20931.067577727747,2545.327251592547,1730329072.0616531
-20980.66609867407,2481.781242106109,1730329072.0658622
-21012.047947889325,2484.8210793520307,1730329072.0688305
-20988.1539330666,2540.78984746812,1730329072.072908
-20960.996563553403,2542.913263191374,1730329072.0768952
-20989.830313900748,2484.530506674112,1730329072.0809474
-21028.87881146417,2469.398375677869,1730329072.0857008
-21005.38712804164,2527.110579861472,1730329072.089922
-20966.964479322967,2558.7382982657314,1730329072.0929203
-20993.54070348033,2501.6742946713325,1730329072.0969524
-21039.63000054717,2465.330358187003,1730329072.1008024
-21014.93132292405,2526.998821139195,1730329072.1048827
-20979.928491107046,2557.620711042966,1730329072.1087503
-20993.02661335785,2494.477032956724,1730329072.1137416
-21033.50562256642,2455.137962715383,1730329072.117762
-21026.50952655191,2515.7111901892654,1730329072.1208348
-20985.15879930959,2557.285434876136,1730329072.1247787
-20976.039287571824,2524.1825013378266,1730329072.128772
-21020.049872404325,2465.1962477202715,1730329072.1330032
-21034.35498885572,2482.854125839964,1730329072.1368785
-21002.63786347364,2529.9939548962066,1730329072.1418705
-20992.93720638004,2513.3419052770028,1730329072.1460173
