Fp1,C3,time_board
-31716.678347191617,-1445.6214243914396,1730328071.4725204
-31758.61021978977,-1466.2744362681433,1730328071.476648
-31783.018324734967,-1421.6603543353503,1730328071.4805672
-31738.33718756881,-1387.8421649744707,1730328071.4857428
-31712.587977956293,-1425.8624822929482,1730328071.4886065
-31752.932876698123,-1464.3968897338975,1730328071.492689
-31789.120350971265,-1434.289089952599,1730328071.4966187
-31748.842507462803,-1390.032635931091,1730328071.5005894
-31709.637547688195,-1419.4698833787304,1730328071.5047035
-31735.38675730071,-1463.1004885554896,1730328071.508604
-31782.571289845862,-1438.0441830210905,1730328071.5136766
-31767.61797280526,-1398.638057546384,1730328071.5166876
-31721.14869608268,-1413.7925402870824,1730328071.5206506
-31742.271094592943,-1465.8050496345818,1730328071.5247796
-31776.67042930966,-1445.0179272911464,1730328071.5288155
-31775.32932464234,-1403.0413512040795,1730328071.5328507
-31733.173934599632,-1411.7138280527388,1730328071.5365956
-31728.144792097188,-1457.736069886216,1730328071.5408628
-31774.99404847552,-1456.640834407906,1730328071.5447536
-31781.54310960092,-1406.282354150099,1730328071.5476696
-31739.52183002494,-1405.1871186717892,1730328071.5528216
-31722.132172838712,-1446.0908110250011,1730328071.5568976
-31764.980466959536,-1456.640834407906,1730328071.5608692
-31782.81715903487,-1411.8255867750154,1730328071.5646667
-31744.953303927578,-1403.0189994596244,1730328071.5689142
-31732.30221656588,-1457.9819390752243,1730328071.5717058
-31752.61995227575,-1463.1675437888557,1730328071.5759337
-31775.418731620164,-1419.8275112900153,1730328071.579837
-31739.49947828049,-1395.7323307671943,1730328071.5847228
-31723.24976006148,-1439.7429155996938,1730328071.5886984
-31758.409054089672,-1469.4260322363416,1730328071.592697
-31778.503272355,-1430.221072461733,1730328071.5967388
-31751.85999296427,-1395.061778433535,1730328071.5999253
-31724.434402517607,-1434.154979485867,1730328071.6038923
-31744.70743473857,-1474.9245613723472,1730328071.608905
-31773.272964152453,-1439.027659777124,1730328071.612944
-31761.58300180233,-1396.9169732233254,1730328071.6169736
-31724.21088507305,-1414.418389131831,1730328071.620963
-31736.28082707892,-1471.2365235372215,1730328071.6240168
-31776.938650243123,-1460.932369343325,1730328071.6279905
-31768.48969083902,-1403.7789587711047,1730328071.6320062
-31727.116611852245,-1415.1112932099454,1730328071.6360176
-31728.23419907501,-1468.0625758245678,1730328071.640061
-31773.027094963443,-1467.995520591202,1730328071.6440463
-31774.50231009749,-1410.7750547856158,1730328071.6478832
-31736.772565456937,-1407.0199617171245,1730328071.6530426
-31726.98250138551,-1461.513514699163,1730328071.656968
-31768.422635605653,-1478.76906141866,1730328071.6610577
-31785.16409220268,-1427.4718078937303,1730328071.663828
-31737.15254511268,-1403.153109926356,1730328071.6679728
-31717.99710011448,-1450.2035320047776,1730328071.6718912
-31758.56551630086,-1481.183049819833,1730328071.6760118
-31783.308897412888,-1439.050011521579,1730328071.6808715
-31746.13794638371,-1404.829490760504,1730328071.6850352
-31723.45092576157,-1448.415392448353,1730328071.6889155
-31747.680216751127,-1483.3958725209086,1730328071.691866
-31781.878385767748,-1448.7059651262718,1730328071.6960728
-31753.35755984277,-1405.678857049806,1730328071.7001011
-31718.846466403786,-1435.607842875462,1730328071.704152
-31744.59567601629,-1483.1052998429896,1730328071.7081244
-31778.547975843907,-1458.9877675757132,1730328071.7131484
-31762.253554135987,-1415.6253833324174,1730328071.716128
-31720.99223387149,-1433.5514823855738,1730328071.7201445
-31733.06217587736,-1487.374483033953,1730328071.724152
-31760.57717330184,-1460.6194449209506,1730328071.72814
-31757.582039544828,-1407.9810867287024,1730328071.732124
-31719.986405371,-1419.3581246564538,1730328071.7361512
-31725.26141706245,-1473.4046427493863,1730328071.7409947
-31765.874536737745,-1471.5494479595957,1730328071.7440135
-31769.69668503961,-1421.2133194462442,1730328071.74797
-31729.21767583104,-1414.3736856429202,1730328071.7521667
-31720.075812348823,-1469.895418869903,1730328071.7560103
-31761.024208190946,-1486.0780818555454,1730328071.760134
-31762.074740180346,-1424.9460607702806,1730328071.764001
-31728.99415838649,-1407.846976261971,1730328071.7690449
-31713.66086169015,-1455.5232471851407,1730328071.7719886
-31749.937742941114,-1484.5134597436738,1730328071.776121
-31781.74427530101,-1445.6884796248055,1730328071.7801342
-31737.823097446337,-1399.353313368954,1730328071.78419
-31704.720163908027,-1438.4241626768307,1730328071.78833
-31741.242914348,-1488.5814772345398,1730328071.7921195
-31778.39151363272,-1451.566988416551,1730328071.7971551
-31754.117519154253,-1402.9295924818032,1730328071.8002183
-31716.07485009132,-1432.9479852852803,1730328071.804253
-31733.28569332191,-1484.2899422991209,1730328071.8082752
-31765.20398440409,-1455.120915784945,1730328071.8122723
-31757.49263256701,-1409.836281518493,1730328071.8163188
-31726.043728118388,-1431.316307940043,1730328071.8203375
-31724.1885333286,-1475.8856863839253,1730328071.8242085
-31761.001856446488,-1467.3249682575429,1730328071.828155
-31762.9464582141,-1419.5592903565516,1730328071.831088
-31721.05928910485,-1419.5592903565516,1730328071.8362858
-31715.963091369045,-1470.0295293366348,1730328071.8403332
-31762.70058902509,-1483.932314387836,1730328071.844144
-31765.85218499329,-1421.7944648020823,1730328071.8482563
-31730.46937352054,-1412.3396768974874,1730328071.8523588
-31704.1837220411,-1460.5523896875848,1730328071.8551447
-31745.08741439431,-1487.061558611579,1730328071.8592098
-31765.494557082005,-1440.5252266556297,1730328071.864168
-31722.84742866128,-1409.322191396021,1730328071.868226
-31698.37226848272,-1450.0247180491351,1730328071.8721447
-31732.90571366617,-1482.3676922759644,1730328071.8762944
-31757.93966745612,-1440.1005435109787,1730328071.8791404
-31729.575303742327,-1404.002476215658,1730328071.8833551
-31702.619099929227,-1440.5922818889956,1730328071.88733
-31736.8396206903,-1494.7729104486598,1730328071.8913643
-31771.68599029613,-1463.3687094889533,1730328071.896383
-31744.23804810501,-1408.2940111510768,1730328071.9003513
-31704.56370169684,-1431.606880617962,1730328071.904296
-31717.0359751029,-1478.3443782740092,1730328071.9073029
-31766.567440815863,-1473.0693665825568,1730328071.9113476
-31750.76475748596,-1411.8926420083812,1730328071.915311
-31700.786256883894,-1412.1161594529342,1730328071.919356
-31709.57049245483,-1474.477526483241,1730328071.9243932
-31759.41488259016,-1480.1101660859783,1730328071.9283538
-31767.93089722764,-1433.0597440075571,1730328071.9312725
-31729.46354502005,-1431.9198050403363,1730328071.9354024
-31713.929082623614,-1473.67286368285,1730328071.939266
-31755.77154824395,-1487.0839103560345,1730328071.943308
-31768.221469905555,-1442.5145319121518,1730328071.9473228
-31733.486859022007,-1428.5670433720402,1730328071.9524062
-31709.57049245483,-1467.7496514021936,1730328071.956359
-31747.94843768459,-1489.7437679462157,1730328071.9593494
-31776.49161535401,-1447.2978052255876,1730328071.9640305
-31740.237085847508,-1414.418389131831,1730328071.9675517
-31720.41108851565,-1459.7253751427384,1730328071.9713657
-31755.39156858821,-1498.9973901507128,1730328071.9755118
-31777.8997752547,-1455.1432675294004,1730328071.9794028
-31755.5480307994,-1419.9839735012024,1730328071.9844449
-31726.75898394096,-1456.126744285434,1730328071.9874957
-31743.63455100472,-1492.96241914778,1730328071.9914954
-31772.468301352063,-1460.8429623655036,1730328071.9955232
-31766.88036523824,-1424.834302048004,1730328071.9995303
-31727.38483278571,-1442.6486423788838,1730328072.0035205
-31744.66273124966,-1492.0459976251122,1730328072.0074444
-31785.16409220268,-1476.9809218622354,1730328072.0126014
-31778.279754910443,-1424.990764259191,1730328072.0154624
-31740.66176899216,-1436.1889882313,1730328072.019442
-31731.25168457648,-1477.964398618269,1730328072.023641
-31776.96100198758,-1478.187916062822,1730328072.0276735
-31786.61695559227,-1429.1481887278785,1730328072.031441
-31747.121423139743,-1419.7157525677387,1730328072.0355265
-31742.47226029304,-1484.2675905546655,1730328072.03951
-31768.33322862783,-1492.4930325142184,1730328072.042436
-31775.82106302036,-1433.931462041314,1730328072.04752
-31742.31579808185,-1414.6866100652946,1730328072.051636
-31726.043728118388,-1467.3696717464534,1730328072.0555997
-31766.43333034913,-1497.2092505942885,1730328072.0598795
-31797.614013864284,-1455.6797093963278,1730328072.0646217
-31757.0455976779,-1414.3960373873756,1730328072.0675995
-31725.484934507007,-1451.991671561202,1730328072.0707247
-31761.35948435777,-1498.1703756058664,1730328072.0757763
-31800.96677553258,-1472.510572971174,1730328072.079762
-31765.494557082005,-1423.515549125141,1730328072.0837717
-31725.12730659572,-1445.3084999690652,1730328072.088005
-31748.55193478488,-1493.6776749703497,1730328072.0918336
-31792.83074055085,-1478.7467096742046,1730328072.095683
-31769.8531472508,-1421.906223524359,1730328072.0986423
-31732.32456831033,-1438.155941743367,1730328072.1040187
-31749.6471702632,-1498.639762239428,1730328072.1078637
-31784.67235382466,-1485.1393085884224,1730328072.111726
-31775.32932464234,-1428.701153838772,1730328072.1157508
-31737.174896857134,-1436.412505675853,1730328072.1197596
-31734.9397224116,-1485.9439713888137,1730328072.1236887
-31782.43717937913,-1488.1120906009785,1730328072.1267471
-31791.08730448333,-1444.2132644907551,1730328072.1306486
-31745.0427109054,-1430.37753467292,1730328072.1357536
-31720.74636468248,-1468.7778316471376,1730328072.1396396
-31767.10388268279,-1494.9070209153915,1730328072.1437335
-31790.12617947176,-1448.415392448353,1730328072.146653
-31754.631609276727,-1426.1083514819566,1730328072.1508803
-31739.18655385811,-1481.7865469201265,1730328072.1553082
-31766.455682093583,-1505.7252652317602,1730328072.1587229
-31789.47797888255,-1458.3395669865092,1730328072.1636937
-31764.533432070428,-1432.6797643518169,1730328072.167958
-31730.178800842623,-1466.185029290322,1730328072.1717136
-31750.89886795269,-1499.220907595266,1730328072.1749475
-31793.545996373417,-1472.8011456490929,1730328072.178926
-31770.03196120644,-1430.221072461733,1730328072.1828165
-31726.9377978966,-1451.544636672096,1730328072.186843
-31751.27884760843,-1509.8826897004474,1730328072.1919484
-31792.316650428376,-1493.051826125601,1730328072.1959312
-31781.47605436755,-1436.5913196314957,1730328072.1999333
-31738.96303641356,-1446.023755791635,1730328072.2029033
-31733.26334157745,-1497.4327680388417,1730328072.2069812
-31780.827853778348,-1500.383198306942,1730328072.2109604
-31781.00666773399,-1442.5592354010626,1730328072.2147849
-31744.66273124966,-1445.6884796248055,1730328072.2199352
-31741.868763192742,-1501.34432331852,1730328072.2239933
-31777.318629898866,-1502.9760006637575,1730328072.2279806
-31781.74427530101,-1448.1695232593445,1730328072.2307978
-31745.55680102788,-1440.9052063113695,1730328072.234954
-31736.526696267927,-1495.1975935933106,1730328072.238829
-31763.169975658653,-1506.1499483764112,1730328072.2430065
-31782.66069682368,-1462.4075844773752,1730328072.2468705
-31751.45766156408,-1439.0053080326686,1730328072.2520242
-31725.12730659572,-1481.3842155199309,1730328072.2549598
-31760.8453942353,-1514.2412798692324,1730328072.259015
-31788.516853870973,-1474.835154394526,1730328072.263018
-31754.877478465736,-1436.3454504424872,1730328072.267027
-31717.32654778082,-1469.6271979364394,1730328072.2710383
-31741.17585911463,-1512.0061054237017,1730328072.2749376
-31783.219490435065,-1498.9526866618023,1730328072.2800384
-31759.124309912244,-1457.3113867415652,1730328072.2831004
-31717.773582669925,-1465.089793812012,1730328072.287089
-31745.780318472425,-1518.3316491045534,1730328072.2911153
-31788.472150382066,-1509.3238960890646,1730328072.295122
-31749.513059796463,-1447.163694758856,1730328072.2991369
-31707.402373242665,-1445.9567005582692,1730328072.3031497
-31731.631664232216,-1500.7408262182269,1730328072.3071656
-31783.33124915734,-1501.992523907724,1730328072.3109596
-31788.62861259325,-1461.9381978438137,1730328072.3150406
-31720.20992281556,-1466.9673403462575,1730328072.3191357
-31693.968974825024,-1502.9536489193022,1730328072.323126
-31756.75502499998,-1513.4589688132965,1730328072.3271272
-31820.54690367543,-1486.4804132557408,1730328072.3310916
-31747.50140279549,-1439.5864533885067,1730328072.335192
-31739.07479513583,-1491.2413348247212,1730328072.339046
-31786.81812129237,-1542.2927191606427,1730328072.3421755
-31733.218638088543,-1502.3278000745536,1730328072.346986
-31684.335372964782,-1468.2413897802105,1730328072.351178
-31674.70177110455,-1494.9070209153915,1730328072.3550856
-31687.665782888627,-1489.6543609683945,1730328072.3592436
-31774.547013586405,-1447.320156970043,1730328072.363001
-31693.81251261384,-1448.996537804191,1730328072.3662531
-31684.96122180953,-1501.053750640601,1730328072.3702643
-31771.37306587375,-1497.5892302500283,1730328072.3743036
-31819.518723430483,-1484.6475702104058,1730328072.3792708
-31816.18831350664,-1474.5892852055176,1730328072.3832188
-31761.76181575797,-1515.4929775587295,1730328072.3873072
-31718.354728025763,-1544.9302250063688,1730328072.390246
-31746.13794638371,-1509.6144687669837,1730328072.3942356
-31592.08972359773,-1447.1189912699451,1730328072.39829
-31497.51949280733,-1445.6214243914396,1730328072.403148
-31717.90769313665,-1531.4074196109082,1730328072.4072986
-31795.401191163208,-1514.1965763803216,1730328072.411166
-31615.760220975902,-1424.4096189033532,1730328072.415146
-31755.972713944044,-1423.3143834250432,1730328072.4182594
-31813.506104172007,-1495.8234424380591,1730328072.4221373
-31757.403225589187,-1525.73007651926,1730328072.4262912
-31778.23505142153,-1469.8507153809924,1730328072.4301932
-31736.750213712483,-1487.7768144341487,1730328072.435391
-31695.980631826,-1582.4811556912848,1730328072.4391744
-31655.054587728333,-1547.7465448077376,1730328072.4434009
-31713.683213434604,-1412.89847050887,1730328072.446414
-31704.697812163573,-1378.6779497477949,1730328072.4504163
-31703.200245285065,-1456.3726134744422,1730328072.4543388
-31730.491725265,-1543.8126377836036,1730328072.4583232
-31780.537281100427,-1500.9643436627798,1730328072.4640656
-31720.36638502674,-1454.5621221735623,1730328072.4672682
-31709.726954666014,-1505.8146722095814,1730328072.471394
-31821.262159498,-1471.214171792766,1730328072.4744492
-31825.01725256649,-1480.8701253974589,1730328072.4782937
-31717.12538208072,-1485.4298812663417,1730328072.48248
-31614.84379945324,-1445.2414447356994,1730328072.486352
-31664.21880295501,-1445.062630780057,1730328072.4914808
-31751.23414411952,-1448.5942064039957,1730328072.4955084
-31648.08084345828,-1437.641851620895,1730328072.4983928
-31586.8594153952,-1504.25005009771,1730328072.5025363
-31708.51996046543,-1564.890332804958,1730328072.5064356
-31801.16794123268,-1611.8289961611029,1730328072.510523
-31677.585146139285,-1369.6254932433956,1730328072.514396
-31627.53959030385,-1287.661646325785,1730328072.519331
-31701.859140617747,-1401.387322114387,1730328072.5234494
-31656.149823206644,-1455.2326745072216,1730328072.5263789
-31527.02379548833,-1426.4883311376968,1730328072.5303392
-31659.54728836385,-1462.2287705217327,1730328072.5345435
-31844.038587097955,-1507.2675355991764,1730328072.538316
-31700.98742258399,-1463.413412977864,1730328072.5429306
-31557.332760969733,-1394.3241708665098,1730328072.546419
-31629.55124730483,-1351.8111529125158,1730328072.5518703
-31690.21388175653,-1389.4291388307977,1730328072.554608
-31594.66017421009,-1478.254971296188,1730328072.5587902
-31680.401465940653,-1474.2093055497774,1730328072.5627809
-31754.184574387626,-1436.2336917202106,1730328072.566634
-31632.814601995306,-1438.6476801213837,1730328072.5706885
-31646.046834712844,-1479.2607997966768,1730328072.5746553
-31730.447021776086,-1410.8868135078924,1730328072.5788324
-31667.1245297342,-1339.4729899731865,1730328072.5816443
-31665.55990762233,-1424.5660811145403,1730328072.5866497
-31700.249815016967,-1407.80227277306,1730328072.5907729
-31782.347772401303,-1388.1997928857556,1730328072.594715
-31786.03581023644,-1408.8304530180042,1730328072.6007538
-31585.563014216783,-1434.9149387973475,1730328072.6037495
-31469.46805351592,-1516.6105647814948,1730328072.606856
-31532.45526939097,-1471.281227026132,1730328072.6107547
-31551.32014171125,-1373.894676434359,1730328072.6144593
-31592.223834064465,-1315.2213472391782,1730328072.6187837
-31601.54451150233,-1376.8898101913703,1730328072.6226184
-31709.145809310176,-1393.7877289995824,1730328072.6265612
-31757.291466866907,-1411.9820489862025,1730328072.63055
-31570.877918109647,-1413.7254850537165,1730328072.6351109
-31634.803907251822,-1496.158718604889,1730328072.637678
-31683.21778574202,-1493.990599392724,1730328072.6419144
-31493.451475316466,-1383.8635544614262,1730328072.6465375
-31501.87808297612,-1322.820940353983,1730328072.650919
