time_board,marker
1730655186.9463265,4.0
1730655186.951426,4.0
1730655186.955612,4.0
1730655186.9586017,4.0
1730655186.9625912,4.0
1730655186.9665728,4.0
1730655186.9703658,4.0
1730655186.9744036,4.0
1730655186.9794345,4.0
1730655186.983622,4.0
1730655186.9863598,4.0
1730655186.9906206,4.0
1730655186.994461,4.0
1730655186.998521,4.0
1730655187.0024064,4.0
1730655187.007733,4.0
1730655187.0114737,4.0
1730655187.0146236,4.0
1730655187.0185163,4.0
1730655187.022713,4.0
1730655187.026471,4.0
1730655187.030717,4.0
1730655187.0355384,4.0
1730655187.0385418,4.0
1730655187.0415547,4.0
1730655187.0467324,4.0
1730655187.0506823,4.0
1730655187.0545394,4.0
1730655187.0589,4.0
1730655187.0639377,4.0
1730655187.066492,4.0
1730655187.0694692,4.0
1730655187.0746305,4.0
1730655187.0786605,4.0
1730655187.0826604,4.0
1730655187.086631,4.0
1730655187.09097,4.0
1730655187.0945926,4.0
1730655187.097772,4.0
1730655187.1025417,4.0
1730655187.1068645,4.0
1730655187.111797,4.0
1730655187.1159134,4.0
1730655187.1186645,4.0
1730655187.1228902,4.0
1730655187.1258671,4.0
1730655187.1309056,4.0
1730655187.1348,4.0
1730655187.1390123,4.0
1730655187.143034,4.0
1730655187.1458406,4.0
1730655187.1498497,4.0
1730655187.1539495,4.0
1730655187.1588404,4.0
1730655187.1626997,4.0
1730655187.1668336,4.0
1730655187.170821,4.0
1730655187.1738043,4.0
1730655187.1777132,4.0
1730655187.1817267,4.0
1730655187.1856868,4.0
1730655187.1906967,4.0
1730655187.1948085,4.0
1730655187.198924,4.0
1730655187.201681,4.0
1730655187.2058847,4.0
1730655187.2097692,4.0
1730655187.2139037,4.0
1730655187.2188013,4.0
1730655187.222963,4.0
1730655187.2260013,4.0
1730655187.2299695,4.0
1730655187.2339668,4.0
1730655187.2379708,4.0
1730655187.2419727,4.0
1730655187.2469363,4.0
1730655187.250947,4.0
1730655187.2539606,4.0
1730655187.257948,4.0
1730655187.261988,4.0
1730655187.2660348,4.0
1730655187.2698991,4.0
1730655187.2750032,4.0
1730655187.2790515,4.0
1730655187.282034,4.0
1730655187.2860048,4.0
1730655187.2900765,4.0
1730655187.2940767,4.0
1730655187.2979903,4.0
1730655187.3019383,4.0
1730655187.3069117,4.0
1730655187.309846,4.0
1730655187.3139763,4.0
1730655187.3179471,4.0
1730655187.3219936,4.0
1730655187.3259704,4.0
1730655187.3300457,4.0
1730655187.3349144,4.0
1730655187.338176,4.0
1730655187.341961,4.0
1730655187.3460815,4.0
1730655187.3499188,4.0
1730655187.3540351,4.0
1730655187.358026,4.0
1730655187.3622031,4.0
1730655187.3651123,4.0
1730655187.37001,4.0
1730655187.374055,4.0
1730655187.378214,4.0
1730655187.3820724,4.0
1730655187.386135,4.0
1730655187.390162,4.0
1730655187.3930476,4.0
1730655187.397153,4.0
1730655187.4019942,4.0
1730655187.4061248,4.0
1730655187.4102235,4.0
1730655187.4142406,4.0
1730655187.4180791,4.0
1730655187.423161,4.0
1730655187.4260514,4.0
1730655187.4302998,4.0
1730655187.4342673,4.0
1730655187.4382885,4.0
1730655187.4412422,4.0
1730655187.4452083,4.0
1730655187.4491775,4.0
1730655187.453212,4.0
1730655187.4581485,4.0
1730655187.4622445,4.0
1730655187.4662175,4.0
1730655187.46921,4.0
1730655187.473302,4.0
1730655187.4770937,4.0
1730655187.481118,4.0
1730655187.486173,4.0
1730655187.4902256,4.0
1730655187.4942725,4.0
1730655187.4973955,4.0
1730655187.5011623,4.0
1730655187.5051527,4.0
1730655187.5092974,4.0
1730655187.5132997,4.0
1730655187.518196,4.0
1730655187.521327,4.0
1730655187.5253425,4.0
1730655187.52938,4.0
1730655187.5333672,4.0
1730655187.537269,4.0
1730655187.541343,4.0
1730655187.546289,4.0
1730655187.5492887,4.0
1730655187.5533814,4.0
1730655187.557299,4.0
1730655187.561363,4.0
1730655187.5654895,4.0
1730655187.569526,4.0
1730655187.5733583,4.0
1730655187.5773969,4.0
1730655187.5804317,4.0
1730655187.58536,4.0
1730655187.589354,4.0
1730655187.5933704,4.0
1730655187.5974956,4.0
1730655187.6023571,4.0
1730655187.6054971,4.0
1730655187.6085596,4.0
1730655187.613662,4.0
1730655187.6175838,4.0
1730655187.621503,4.0
1730655187.6254632,4.0
1730655187.6295383,4.0
1730655187.6335063,4.0
1730655187.63648,4.0
1730655187.6424687,4.0
1730655187.645556,4.0
1730655187.6495566,4.0
1730655187.653591,4.0
1730655187.656643,4.0
1730655187.660478,4.0
1730655187.66461,4.0
1730655187.669701,4.0
1730655187.6736777,4.0
1730655187.677441,4.0
1730655187.681723,4.0
1730655187.684582,4.0
1730655187.688702,4.0
1730655187.6925263,4.0
1730655187.6966765,4.0
1730655187.7015193,4.0
1730655187.7057364,4.0
1730655187.7096045,4.0
1730655187.7127097,4.0
1730655187.7167168,4.0
1730655187.7207744,4.0
1730655187.7247584,4.0
1730655187.729836,4.0
1730655187.733771,4.0
1730655187.7367833,4.0
1730655187.7407618,4.0
1730655187.7445955,4.0
1730655187.7487347,4.0
1730655187.7527084,4.0
1730655187.7577431,4.0
1730655187.7616966,4.0
1730655187.7648375,4.0
1730655187.7686107,4.0
1730655187.7728689,4.0
1730655187.7767026,4.0
1730655187.7808688,4.0
1730655187.785632,4.0
1730655187.789886,4.0
1730655187.7927566,4.0
1730655187.7968998,4.0
1730655187.8008988,4.0
1730655187.8048997,4.0
1730655187.8088822,4.0
1730655187.8136113,4.0
