time_board,marker
1730329640.0611968,1.0
1730329640.0653615,1.0
1730329640.0692165,1.0
1730329640.0743167,1.0
1730329640.0772183,1.0
1730329640.0802472,1.0
1730329640.0852015,1.0
1730329640.0893989,1.0
1730329640.0933087,1.0
1730329640.097432,1.0
1730329640.1014464,1.0
1730329640.1053848,1.0
1730329640.1084406,1.0
1730329640.112456,1.0
1730329640.1174667,1.0
1730329640.1214535,1.0
1730329640.125466,1.0
1730329640.12949,1.0
1730329640.1334872,1.0
1730329640.1363564,1.0
1730329640.1404903,1.0
1730329640.1455247,1.0
1730329640.1495087,1.0
1730329640.153516,1.0
1730329640.1575036,1.0
1730329640.1604066,1.0
1730329640.1645348,1.0
1730329640.1683695,1.0
1730329640.1735132,1.0
1730329640.177407,1.0
1730329640.1815505,1.0
1730329640.1845458,1.0
1730329640.1885538,1.0
1730329640.192567,1.0
1730329640.1965067,1.0
1730329640.201518,1.0
1730329640.2056932,1.0
1730329640.209694,1.0
1730329640.2127004,1.0
1730329640.216694,1.0
1730329640.220662,1.0
1730329640.224668,1.0
1730329640.2285388,1.0
1730329640.2336836,1.0
1730329640.237691,1.0
1730329640.240734,1.0
1730329640.2445652,1.0
1730329640.2487268,1.0
1730329640.2525268,1.0
1730329640.2567213,1.0
1730329640.26154,1.0
1730329640.265561,1.0
1730329640.2685716,1.0
1730329640.2726347,1.0
1730329640.2767696,1.0
1730329640.2806656,1.0
1730329640.28468,1.0
1730329640.2898042,1.0
1730329640.2932997,1.0
1730329640.297068,1.0
1730329640.3012428,1.0
1730329640.3049822,1.0
1730329640.3089492,1.0
1730329640.312864,1.0
1730329640.317845,1.0
1730329640.3208516,1.0
1730329640.3248844,1.0
1730329640.3288388,1.0
1730329640.3328147,1.0
1730329640.3369677,1.0
1730329640.341003,1.0
1730329640.3458855,1.0
1730329640.3489542,1.0
1730329640.3517785,1.0
1730329640.356979,1.0
1730329640.3607838,1.0
1730329640.3649826,1.0
1730329640.368776,1.0
1730329640.373917,1.0
1730329640.3767817,1.0
1730329640.3799849,1.0
1730329640.3850002,1.0
1730329640.3890543,1.0
1730329640.3930418,1.0
1730329640.397017,1.0
1730329640.4010384,1.0
1730329640.4048977,1.0
1730329640.4079647,1.0
1730329640.412933,1.0
1730329640.4168308,1.0
1730329640.4209807,1.0
1730329640.4249282,1.0
1730329640.4277904,1.0
1730329640.4319584,1.0
1730329640.435962,1.0
1730329640.4400508,1.0
1730329640.444856,1.0
1730329640.448866,1.0
1730329640.452943,1.0
1730329640.4560103,1.0
1730329640.459931,1.0
1730329640.464012,1.0
1730329640.4689112,1.0
1730329640.473074,1.0
1730329640.47686,1.0
1730329640.4810555,1.0
1730329640.4838996,1.0
1730329640.4880807,1.0
1730329640.4921308,1.0
1730329640.4961689,1.0
1730329640.5000205,1.0
1730329640.505274,1.0
1730329640.5091784,1.0
1730329640.5120895,1.0
1730329640.5161788,1.0
1730329640.520252,1.0
1730329640.5241728,1.0
1730329640.5280411,1.0
1730329640.5331955,1.0
1730329640.5360024,1.0
1730329640.540319,1.0
1730329640.54399,1.0
1730329640.5483038,1.0
1730329640.5520444,1.0
1730329640.556311,1.0
1730329640.5611053,1.0
1730329640.56416,1.0
1730329640.5682757,1.0
1730329640.5723104,1.0
1730329640.576252,1.0
1730329640.5804238,1.0
1730329640.584319,1.0
1730329640.589229,1.0
1730329640.5923252,1.0
1730329640.5963717,1.0
1730329640.600248,1.0
1730329640.604318,1.0
1730329640.6083057,1.0
1730329640.6123388,1.0
1730329640.61727,1.0
1730329640.6202493,1.0
1730329640.6242723,1.0
1730329640.6282697,1.0
1730329640.6323593,1.0
1730329640.636202,1.0
1730329640.6402197,1.0
1730329640.6453753,1.0
1730329640.6483753,1.0
1730329640.651378,1.0
1730329640.6564057,1.0
1730329640.6601996,1.0
1730329640.6644511,1.0
1730329640.668399,1.0
1730329640.672442,1.0
1730329640.6754296,1.0
1730329640.6794252,1.0
1730329640.684442,1.0
1730329640.6884484,1.0
1730329640.6924453,1.0
1730329640.6965048,1.0
1730329640.7004857,1.0
1730329640.703483,1.0
1730329640.7074702,1.0
1730329640.7125597,1.0
1730329640.7165084,1.0
1730329640.7203093,1.0
1730329640.724424,1.0
1730329640.728528,1.0
1730329640.7315693,1.0
1730329640.7352986,1.0
1730329640.740301,1.0
1730329640.7443333,1.0
1730329640.748577,1.0
1730329640.7524192,1.0
1730329640.755607,1.0
1730329640.759598,1.0
1730329640.763589,1.0
1730329640.767624,1.0
1730329640.772545,1.0
1730329640.776632,1.0
1730329640.7795775,1.0
1730329640.7835891,1.0
1730329640.787428,1.0
1730329640.7916129,1.0
1730329640.7955396,1.0
1730329640.8005743,1.0
1730329640.8044157,1.0
1730329640.8074467,1.0
1730329640.8114443,1.0
1730329640.8156402,1.0
1730329640.8194618,1.0
1730329640.8236592,1.0
1730329640.8291829,1.0
1730329640.8329978,1.0
1730329640.8355167,1.0
1730329640.839696,1.0
1730329640.8434925,1.0
1730329640.8477485,1.0
1730329640.8516588,1.0
1730329640.856557,1.0
1730329640.8605168,1.0
1730329640.8637033,1.0
1730329640.8675897,1.0
1730329640.8717663,1.0
1730329640.8757925,1.0
1730329640.879752,1.0
1730329640.8838189,1.0
1730329640.8885305,1.0
1730329640.8916104,1.0
1730329640.8956163,1.0
1730329640.899662,1.0
1730329640.9036417,1.0
1730329640.9076147,1.0
1730329640.9118123,1.0
1730329640.915762,1.0
1730329640.9186523,1.0
1730329640.92307,1.0
1730329640.9276187,1.0
1730329640.9318607,1.0
1730329640.935824,1.0
1730329640.9402833,1.0
1730329640.9436665,1.0
1730329640.946908,1.0
1730329640.9518113,1.0
1730329640.956306,1.0
1730329640.9600873,1.0
1730329640.9637752,1.0
1730329640.9683104,1.0
1730329640.9715798,1.0
1730329640.9752223,1.0
1730329640.9790113,1.0
1730329640.9843304,1.0
1730329640.9885528,1.0
1730329640.992463,1.0
1730329640.9959936,1.0
1730329641.0003445,1.0
1730329641.0028052,1.0
1730329641.0068097,1.0
1730329641.0119393,1.0
1730329641.016143,1.0
1730329641.019974,1.0
1730329641.0232964,1.0
1730329641.0268264,1.0
1730329641.031453,1.0
1730329641.0350063,1.0
1730329641.0404377,1.0
1730329641.0438435,1.0
1730329641.0481734,1.0
1730329641.0508728,1.0
1730329641.0554714,1.0
1730329641.0590744,1.0
1730329641.0631,1.0
1730329641.0682678,1.0
1730329641.072088,1.0
1730329641.076265,1.0
1730329641.0792463,1.0
1730329641.0833366,1.0
1730329641.0869665,1.0
1730329641.0915403,1.0
1730329641.096168,1.0
1730329641.100499,1.0
1730329641.1042511,1.0
1730329641.1071212,1.0
1730329641.1109953,1.0
1730329641.115625,1.0
1730329641.1190035,1.0
1730329641.123427,1.0
1730329641.1279793,1.0
1730329641.1312191,1.0
1730329641.1349895,1.0
1730329641.1392748,1.0
1730329641.1433868,1.0
1730329641.1471412,1.0
1730329641.1512413,1.0
1730329641.1561337,1.0
1730329641.159412,1.0
1730329641.1635787,1.0
1730329641.167179,1.0
1730329641.1715877,1.0
1730329641.1755404,1.0
1730329641.179315,1.0
1730329641.1847527,1.0
1730329641.1870644,1.0
1730329641.191348,1.0
1730329641.1952302,1.0
1730329641.1994703,1.0
1730329641.2030852,1.0
1730329641.20728,1.0
1730329641.2123656,1.0
1730329641.2154496,1.0
1730329641.2191217,1.0
1730329641.2234228,1.0
1730329641.227121,1.0
1730329641.2314746,1.0
1730329641.2353475,1.0
1730329641.2406936,1.0
1730329641.2431002,1.0
1730329641.2463343,1.0
1730329641.2513666,1.0
1730329641.2552123,1.0
1730329641.2592466,1.0
1730329641.26382,1.0
1730329641.2663374,1.0
1730329641.27025,1.0
1730329641.2747009,1.0
1730329641.2799163,1.0
1730329641.2838168,1.0
1730329641.2874572,1.0
1730329641.2911773,1.0
1730329641.294234,1.0
1730329641.2984188,1.0
1730329641.3022344,1.0
1730329641.3071983,1.0
1730329641.311283,1.0
1730329641.3153768,1.0
1730329641.3192272,1.0
1730329641.322534,1.0
1730329641.32649,1.0
1730329641.3304465,1.0
1730329641.3344202,1.0
1730329641.3393848,1.0
1730329641.3432372,1.0
1730329641.3473806,1.0
1730329641.3504455,1.0
1730329641.3543608,1.0
1730329641.3584285,1.0
1730329641.362336,1.0
1730329641.3674705,1.0
1730329641.3714972,1.0
1730329641.3744938,1.0
1730329641.3783696,1.0
1730329641.3825204,1.0
1730329641.386377,1.0
1730329641.3905776,1.0
1730329641.3955083,1.0
1730329641.3995695,1.0
1730329641.4023547,1.0
1730329641.406402,1.0
1730329641.4103303,1.0
1730329641.4148333,1.0
1730329641.4184184,1.0
1730329641.42291,1.0
1730329641.4274735,1.0
1730329641.4308467,1.0
1730329641.4347134,1.0
1730329641.4386072,1.0
1730329641.4429712,1.0
1730329641.4466252,1.0
1730329641.4509406,1.0
1730329641.4558637,1.0
1730329641.4586208,1.0
1730329641.4626129,1.0
1730329641.46662,1.0
1730329641.4711888,1.0
1730329641.474914,1.0
1730329641.4788096,1.0
1730329641.4841547,1.0
1730329641.48663,1.0
1730329641.4910035,1.0
1730329641.4945345,1.0
1730329641.4987588,1.0
1730329641.5025828,1.0
1730329641.506715,1.0
1730329641.5105484,1.0
1730329641.5138085,1.0
1730329641.518597,1.0
1730329641.52382,1.0
1730329641.5276098,1.0
1730329641.531093,1.0
1730329641.535598,1.0
1730329641.538822,1.0
1730329641.54192,1.0
1730329641.5467443,1.0
1730329641.5510116,1.0
1730329641.555046,1.0
1730329641.558879,1.0
1730329641.563145,1.0
1730329641.5667925,1.0
1730329641.569678,1.0
1730329641.5747616,1.0
1730329641.5789042,1.0
1730329641.5829785,1.0
1730329641.5868015,1.0
1730329641.5906224,1.0
1730329641.5947683,1.0
1730329641.5979953,1.0
1730329641.6016436,1.0
1730329641.6068523,1.0
1730329641.6107285,1.0
1730329641.6152012,1.0
1730329641.6176963,1.0
1730329641.6218271,1.0
1730329641.6261673,1.0
1730329641.630222,1.0
1730329641.6348276,1.0
1730329641.6389685,1.0
1730329641.6429636,1.0
1730329641.6459792,1.0
1730329641.6497967,1.0
1730329641.6537557,1.0
1730329641.6584506,1.0
1730329641.6619897,1.0
1730329641.666803,1.0
1730329641.671492,1.0
1730329641.6742513,1.0
1730329641.6778111,1.0
1730329641.6820471,1.0
1730329641.6858563,1.0
1730329641.6901922,1.0
1730329641.694983,1.0
1730329641.699392,1.0
1730329641.7018592,1.0
1730329641.7061708,1.0
1730329641.70982,1.0
1730329641.7144744,1.0
1730329641.7181144,1.0
1730329641.72333,1.0
1730329641.7269444,1.0
1730329641.7304008,1.0
1730329641.734512,1.0
1730329641.7384765,1.0
1730329641.7421174,1.0
1730329641.7461083,1.0
1730329641.7511492,1.0
1730329641.7546244,1.0
1730329641.757066,1.0
1730329641.7621596,1.0
1730329641.7665565,1.0
1730329641.7700272,1.0
1730329641.7744024,1.0
1730329641.7792635,1.0
1730329641.7823305,1.0
1730329641.7859304,1.0
1730329641.790215,1.0
1730329641.7939377,1.0
1730329641.7982247,1.0
1730329641.8019514,1.0
1730329641.8071444,1.0
1730329641.8099742,1.0
1730329641.8135128,1.0
1730329641.8180697,1.0
1730329641.8222115,1.0
1730329641.8263197,1.0
1730329641.8305235,1.0
1730329641.83503,1.0
1730329641.8384778,1.0
1730329641.84144,1.0
1730329641.8461466,1.0
1730329641.850397,1.0
1730329641.854615,1.0
1730329641.858618,1.0
1730329641.861072,1.0
1730329641.8658395,1.0
1730329641.8691611,1.0
1730329641.874738,1.0
