Fp1,C3,time_board
-1890.04115939631,8212.723816957929,1730330451.6611352
-1955.4647154169936,8228.884128199117,1730330451.664162
-1983.7173204085016,8203.62665696462,1730330451.66839
-1922.5182440898711,8182.213685776435,1730330451.6721058
-1886.4648802834608,8205.10187209867,1730330451.6763315
-1945.205264712008,8227.408913065066,1730330451.6811512
-1993.0379978463648,8201.190316818991,1730330451.6851747
-1937.71743031948,8175.955197328949,1730330451.6891768
-1884.2520575823853,8193.344854515179,1730330451.692314
-1932.330659905751,8219.854023439173,1730330451.6961448
-1991.160451312119,8204.364264531645,1730330451.7001765
-1949.72031709198,8176.71515664043,1730330451.704333
-1885.391996549606,8187.868677123628,1730330451.708527
-1918.1373021766308,8213.640238480597,1730330451.7131765
-1989.1711460555969,8203.134918586602,1730330451.7173755
-1965.5677039107925,8174.591740917175,1730330451.720261
-1891.359912319173,8181.789002631785,1730330451.7244372
-1899.451243811994,8219.138767616603,1730330451.728487
-1969.9262940795768,8221.619811251141,1730330451.732471
-1963.1984189985296,8191.936694614494,1730330451.736476
-1892.9021826865887,8185.164116044536,1730330451.741449
-1887.202487850486,8215.137805359103,1730330451.745379
-1962.10318352022,8223.832633952217,1730330451.7483397
-1978.1517360391304,8195.37886326061,1730330451.752486
-1909.062493927776,8183.130107299103,1730330451.7562685
-1885.347293060696,8215.383674548111,1730330451.760502
-1952.8272095712675,8234.561471290765,1730330451.7643025
-1981.705663407524,8212.902630913572,1730330451.7695212
-1919.8360347552343,8200.095081340682,1730330451.7740736
-1887.9847989064217,8248.754829019885,1730330451.7765152
-1948.6697851025804,8284.003530025904,1730330451.7803493
-1985.103128564731,8191.199087047468,1730330451.7844684
-1928.4638081149828,8186.102889311659,1730330451.7883153
-1874.506696999872,8228.414741565555,1730330451.7925324
-1921.490063844927,8220.993962406394,1730330451.7973883
-1973.256704003418,8234.293250357301,1730330451.8005767
-1946.2557967014072,8224.905517686071,1730330451.8046012
-1888.029502395332,8213.707293713964,1730330451.808476
-1924.9322324910445,8247.458427841477,1730330451.8125403
-1988.321779766295,8280.78487882434,1730330451.816514
-1957.208151484508,8217.305924571267,1730330451.8205416
-1879.200563335486,8146.85322604814,1730330451.8255513
-1886.844859939201,8180.649063664564,1730330451.828379
-1960.4044509416165,8219.876375183627,1730330451.8315716
-1968.7640033679013,8228.861776454662,1730330451.8365495
-1905.3074008592848,8183.621845677119,1730330451.8403828
-1893.2374588534187,8170.300205981756,1730330451.8445716
-1965.232427743963,8189.925037613516,1730330451.8485625
-1985.192535542552,8188.539229457288,1730330451.85361
-1917.8020260098008,8183.398328232566,1730330451.8566413
-1874.0596621107647,8206.644142466086,1730330451.8596544
-1930.6095755826923,8245.178549907036,1730330451.864556
-1971.2226952579847,8218.825843194229,1730330451.868676
-1909.9342119615333,8208.409930278056,1730330451.8724847
-1869.2540370528743,8243.748038261896,1730330451.8764696
-1927.301517403307,8194.104813826658,1730330451.8804896
-1983.516154708404,8177.653929907553,1730330451.8846583
-1932.308308161296,8194.462441737944,1730330451.8876283
-1869.9469411309888,8237.489549814409,1730330451.8926544
-1909.978915450444,8241.065828927258,1730330451.8964171
-1976.3635964827056,8177.653929907553,1730330451.9004788
-1956.9175788065888,8149.311917938223,1730330451.9044292
-1914.2033951524968,8194.015406848837,1730330451.9086788
-1915.455092841994,8274.839314799228,1730330451.911696
-1949.519151391882,8268.334957162733,1730330451.9157057
-1951.7990293263235,8170.255502492846,1730330451.9197347
-1880.2063918359747,8140.482978878377,1730330451.924725
-1885.615513994159,8193.009578348348,1730330451.928744
-1982.756195396924,8243.211596394967,1730330451.9327471
-1993.4403292465604,8214.891936170094,1730330451.936797
-1896.523165288349,8179.844400864173,1730330451.9407864
-1867.667063196548,8173.272987994313,1730330451.9437902
-1950.368517681184,8178.23507526339,1730330451.9486167
-1973.3684627256944,8154.765743585318,1730330451.9527748
-1897.618400766659,8164.198179745457,1730330451.9567351
-1870.8633626536564,8163.438220433977,1730330451.960827
-1937.605671597204,8182.817182876728,1730330451.9635816
-1974.709567393013,8164.958139056938,1730330451.9677143
-1924.6193080686696,8133.598641586143,1730330451.9715517
-1879.4464325244944,8161.426563432999,1730330451.975678
-1917.5114533318824,8205.973590132427,1730330451.9805784
-1974.3295877372727,8166.790982102273,1730330451.984672
-1947.351032179717,8135.722057309396,1730330451.988592
-1886.1743076055416,8139.745371311352,1730330451.9916625
-1910.493005572916,8168.646176892063,1730330451.9957051
-1978.7999366283343,8169.2943774812675,1730330451.9997983
-1935.348145407217,8105.837774972651,1730330452.0038085
-1873.098537099187,8096.494745790333,1730330452.008788
-1885.0120168938656,8150.362449927623,1730330452.0127628
-1944.2664914448849,8155.458647663432,1730330452.016852
-1970.373328968684,8145.08743823617,1730330452.0198877
-1895.070301898754,8143.142836468558,1730330452.0238607
-1865.074260839732,8086.861143930095,1730330452.027894
-1941.1819507100524,8102.708530748908,1730330452.031695
-1959.5774363967705,8098.037016157748,1730330452.0368807
-1904.8827177146336,8103.535545293755,1730330452.0407784
-1884.274409326841,8133.241013674858,1730330452.043736
-1945.741706578935,8106.754196495319,1730330452.0476863
-1967.9593405675105,8063.302405274201,1730330452.0518048
-1900.814700223768,8019.336523930612,1730330452.0557296
-1860.3803945041168,8030.82532058064,1730330452.0599484
-1933.1129709616864,8066.096373331115,1730330452.06482
-1984.8796111201773,8107.156527895514,1730330452.068926
-1919.7019242885024,8092.9855219108495,1730330452.0717268
-1862.36969976064,8037.754361361785,1730330452.075987
-1913.1528631630968,8086.50351601881,1730330452.0797696
-1974.7989743708345,8019.694151841897,1730330452.083948
-1940.2431774429297,7991.240381150292,1730330452.0878167
-1872.2268190654304,7991.173325916926,1730330452.0917833
-1908.3695898496617,8012.407483149467,1730330452.0967977
-1975.1566022821191,8019.671800097442,1730330452.099998
-1967.9369888230551,8003.310323156157,1730330452.104061
-1899.1606711340755,8009.054721481171,1730330452.1078703
-1889.348255318196,8014.01680875025,1730330452.1118867
-1951.5978636262253,7962.250168591759,1730330452.1159897
-1958.3033869628173,7942.446523004356,1730330452.1199875
-1895.4726332989496,7949.420267274412,1730330452.1250598
-1878.5747144907373,7983.730195013309,1730330452.128002
-1949.3179856917843,7991.709767783853,1730330452.1320112
-1976.810631371812,7979.237494377791,1730330452.1359415
-1899.697113001003,7952.773028942708,1730330452.1400228
-1870.1481068310864,7975.4824013093,1730330452.144065
-1937.9185960195773,7970.296796595669,1730330452.1480165
-1971.870895847189,7975.0577181646495,1730330452.1531224
-1906.916726460067,7947.319203295613,1730330452.1560578
-1878.5970662351929,7919.04424655965,1730330452.1589808
-1935.1469797071195,7947.900348651451,1730330452.163924
-1982.6891401635576,7920.027723315683,1730330452.1680796
-1934.744648306924,7888.46706014479,1730330452.1720028
-1875.8925051561005,7919.290115748658,1730330452.17611
-1912.1470346626088,7960.596139502066,1730330452.179948
-1980.878648862678,7934.623412444999,1730330452.1831143
-1953.1401339936417,7882.2532751862145,1730330452.187023
-1885.973141905444,7873.759612293198,1730330452.1921127
-1904.7262555034467,7919.670095404398,1730330452.1960945
-1974.5307534373703,7932.097665321549,1730330452.2000875
-1968.4734306899825,7863.075478443561,1730330452.2041051
-1889.7729384628465,7832.677105984343,1730330452.208384
-1882.1733453480413,7890.143440978938,1730330452.2111692
-1959.4656776744937,7885.60603685451,1730330452.2152104
-1973.1672970255968,7863.991899966229,1730330452.220209
-1917.064418442776,7883.728490320264,1730330452.224213
-1898.490118800416,7906.214345242303,1730330452.228006
-1970.6639016466024,7901.475775417778,1730330452.2323115
-1998.0224368598983,7860.46032434229,1730330452.2352655
-1910.42595033955,7819.109597099972,1730330452.2391264
-1883.156822104076,7849.619728281466,1730330452.2435744
-1940.2655291873848,7869.445725613324,1730330452.2481558
-1966.4617736890048,7851.0278881821505,1730330452.252334
-1913.7340085189355,7828.45262628229,1730330452.2561336
-1873.590275477204,7846.021097424162,1730330452.2603445
-1936.398677396617,7869.356318635502,1730330452.2642024
-1992.0098176014208,7839.159111876383,1730330452.2673912
-1947.5969013687256,7811.68881794081,1730330452.271442
-1883.782670948824,7851.296109115614,1730330452.2750845
-1902.2675636133629,7824.116387857961,1730330452.280121
-1975.7600993824128,7813.365198774958,1730330452.2844265
-1959.3315672077613,7794.522678199134,1730330452.2871587
-1893.0586448977765,7802.569306203045,1730330452.2912924
