Fp1,C3,time_board
-28350.28211477782,1036.9421287706052,1730328779.318125
-28323.92940806501,1010.1870906576028,1730328779.321934
-28376.81363544627,932.4700751865,1730328779.3251517
-28413.24697890842,948.9656625945166,1730328779.3291128
-28365.682466707527,1024.1569309421695,1730328779.3329904
-28314.36286143814,1027.1297129547254,1730328779.33699
-28358.8428329042,950.2397120284692,1730328779.340912
-28414.14104868663,941.0084415684272,1730328779.346132
-28378.57942325824,1012.2881546364016,1730328779.3500693
-28317.693271361983,1025.0062972314713,1730328779.3531177
-28347.443443232,953.2795492743908,1730328779.3570282
-28403.389859603627,935.2640432434134,1730328779.361069
-28381.418094804063,1006.6555150336642,1730328779.365108
-28330.94785582398,1037.2550531929796,1730328779.3691344
-28344.60477168617,973.664340217631,1730328779.3741257
-28408.28489163934,927.5973948952432,1730328779.3791397
-28392.839836220723,994.0044276719605,1730328779.3821309
-28314.45226841596,1054.175323745647,1730328779.385153
-28310.76423058084,1006.34259061129,1730328779.3900871
-28380.0993418812,946.6857846600752,1730328779.3931465
-28391.34226934221,988.1035671357594,1730328779.39701
-28329.36088196765,1047.4250969201444,1730328779.401174
-28318.45323067346,1017.563166327854,1730328779.4050064
-28384.79320821681,949.3679939947122,1730328779.409165
-28410.542417829325,970.4233372716114,1730328779.413198
-28349.52215546634,1040.272538694446,1730328779.4182084
-28317.06742251724,1024.9392419981054,1730328779.4210582
-28372.34328655521,945.0094038259272,1730328779.425177
-28403.121638670164,954.1065638192372,1730328779.429218
-28379.62995524764,1023.4193233751444,1730328779.433221
-28334.79235587029,1026.6379745767088,1730328779.4372065
-28368.543489997806,955.7382411644747,1730328779.441259
-28420.86892376768,940.695517146053,1730328779.4461756
-28391.208158875485,1008.600116801276,1730328779.4492798
-28339.709739650458,1017.9878494725048,1730328779.4522564
-28364.4978242514,953.8830463746842,1730328779.457266
-28423.57348484677,937.9015490891396,1730328779.4612832
-28408.217836405976,1006.9684394560384,1730328779.4651551
-28343.66599841905,1044.7205358410522,1730328779.4691672
-28361.05565560528,976.726529208008,1730328779.4743571
-28425.696900570027,928.5138164179108,1730328779.477384
-28419.706633056,988.371788069223,1730328779.481118
-28359.33457128222,1032.1812072016248,1730328779.4853532
-28338.14511753859,994.0044276719605,1730328779.4891553
-28393.577443787748,949.2115317835252,1730328779.493326
-28413.515199841884,992.2609916044464,1730328779.4971611
-28356.98763811441,1053.3930126897112,1730328779.501362
-28325.628140643614,1017.9654977280496,1730328779.5043497
-28383.027420404844,942.9083398471284,1730328779.5083475
-28396.550225800303,967.2493895589578,1730328779.5131917
-28324.890533076592,1044.273500951946,1730328779.5174172
-28329.00325405637,1025.6097943317643,1730328779.521466
-28402.60754854769,948.2951102608574,1730328779.5252123
-28447.981589791965,947.825723627296,1730328779.5294187
-28399.18773164603,1023.5757855863316,1730328779.5324247
-28339.0391873168,1034.6846025806192,1730328779.5364535
-28377.03715289082,958.9345406215836,1730328779.5412369
-28436.738662330947,940.337889234768,1730328779.5454526
-28400.68529852453,1027.688506566108,1730328779.5493484
-28340.022664072832,1052.633053378231,1730328779.553466
-28359.871013149143,981.4203955436224,1730328779.5562756
-28420.15366794511,949.7032701615418,1730328779.560603
-28416.77855453236,1011.7293610250188,1730328779.564374
-28354.61835320215,1053.5271231564432,1730328779.569372
-28361.592097472203,995.4125875726448,1730328779.5733552
-28427.596798848725,948.6750899165976,1730328779.5774686
-28420.19837143402,1008.8012825013736,1730328779.5813253
-28352.0926060787,1058.1315825142362,1730328779.5845344
-28337.94395183849,1010.9470499690832,1730328779.5883255
-28398.159551401088,951.7372789069748,1730328779.5924382
-28410.58712131824,1001.112282408748,1730328779.5965405
-28354.03720784631,1069.1956960196133,1730328779.6015172
-28336.40168147108,1035.981003759027,1730328779.605325
-28402.227568891954,953.436011485578,1730328779.609475
-28439.778499576867,969.6186744712204,1730328779.6124744
-28385.19553961701,1039.624338105242,1730328779.6164503
-28337.854544860667,1036.3833351592225,1730328779.620614
-28383.049772149297,962.4884679899774,1730328779.6245744
-28438.079766998264,957.95106386555,1730328779.6295888
-28399.85828397969,1037.500922381988,1730328779.633656
-28339.016835572344,1050.1520097436917,1730328779.636572
-28377.57359475775,965.371843024712,1730328779.640663
-28434.14585997413,948.8092003833297,1730328779.644647
-28403.792191003824,1024.1345791977144,1730328779.6484623
-28330.724338379427,1049.4814574100326,1730328779.6524353
-28362.061484105765,970.5797994827984,1730328779.657576
-28413.24697890842,919.8413395692515,1730328779.6615956
-28402.04875493631,966.4894302474772,1730328779.6645052
-28356.67471369204,1043.1335619847252,1730328779.6685345
-28350.796204900293,1021.3853146297116,1730328779.6725087
-28425.07105172528,961.0803080892932,1730328779.67671
-28438.549153631822,1000.4864335639994,1730328779.6805704
-28378.31120232477,1063.0936697833145,1730328779.68552
-28343.375425741127,1032.114151968259,1730328779.6896205
-28402.24992063641,957.7498981654524,1730328779.6928332
-28431.08367098376,986.3154275793348,1730328779.696597
-28366.822405674742,1062.6019314052978,1730328779.7007291
-28338.56980068324,1037.366811915256,1730328779.7045968
-28402.38403110313,958.4204504991116,1730328779.7086928
-28430.23430469445,969.1269360932037,1730328779.7137136
-28391.61049027568,1035.6457275921975,1730328779.7167091
-28349.9915420999,1031.4435996345997,1730328779.7196236
-28415.124525442665,967.4282035146005,1730328779.7247236
-28460.87854634268,939.5779299232876,1730328779.7288103
-28418.320824899773,995.0773114058152,1730328779.7327764
-28353.38900725711,1041.4571811505773,1730328779.736683
-28399.031269434843,997.2901341068904,1730328779.7408037
-28486.560700721828,957.0793458317931,1730328779.7448435
-28441.432528666563,1026.7720850434405,1730328779.7475815
-28380.9487081705,1062.5795796608425,1730328779.752828
-28401.177036902554,997.9830381850052,1730328779.7567344
-28466.37707547869,945.6576044151312,1730328779.7608273
-28458.12928177468,1009.2930208793904,1730328779.764748
-28390.89523445312,1052.20837023358,1730328779.768712
-28395.72321125546,1000.4864335639994,1730328779.772657
-28454.12831951717,937.56627292231,1730328779.775708
-28454.73181661747,948.2727585164022,1730328779.7797573
-28299.74482056437,955.179447553092,1730328779.7847962
-28251.666218241004,924.1999297380364,1730328779.7886648
-28469.34985749124,943.5118369474218,1730328779.7927687
-28470.35568599173,1008.8683377347396,1730328779.7967763
-28456.408197451616,1083.7019781711076,1730328779.8009272
